"ngram","Full_Rank","Tool_Rank","Control_Rank","Full_Freq","Tool_Freq","Control_Freq","Full vs Tool: LL","Full vs Tool: %DIFF","Full vs Tool: BIC","Full vs Tool: ELL","Full vs Tool: RRisk","Full vs Tool: LogRatio","Full vs Tool: OddsRatio","Full vs Control: LL","Full vs Control: %DIFF","Full vs Control: BIC","Full vs Control: ELL","Full vs Control: RRisk","Full vs Control: LogRatio","Full vs Control: OddsRatio","Tool vs Control: LL","Tool vs Control: %DIFF","Tool vs Control: BIC","Tool vs Control: ELL","Tool vs Control: RRisk","Tool vs Control: LogRatio","Tool vs Control: OddsRatio"
"asking","60","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"loves","0","36","27","0","9","9","7.205424516944072","-92.79797979797979797979797904","-0.628967785966368","0.0020088550485629296709961365","0.0720202020202020202020202096","-3.79545454341045","0.0715982012025668233035218099","10.501072862205352","-95.17676767676767676767676721","2.873041735275012","0.003441149788229726906540831","0.0482323232323232323232323279","-4.37385588693122","0.047799504825425698549845894","0.718513027179534","-33.029453015427769985974755148","-7.056762819307326","0.0001526549620546771765115646","0.6697054698457223001402524485","-0.578401343520777","0.6676076217360621030345800958"
"confident","52","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"meaningless","46","0","0","6","0","0","7.022223981879916","1455.6363636363636363636365564","-0.812168321030524","0.0026718344354857423653604843","15.556363636363636363636365564","3.95943295875302","15.636197440585009140767826504","4.740445954632114","941.8181818181818181818180978","-2.887585172298226","0.0020866785147756947538746334","10.418181818181818181818180978","3.38103161523224","10.469835466179159049360146752","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"inspiration","0","29","0","0","12","0","10.355051997238330","-94.59848484848484848484848433","2.520659694327890","0.00241937135091424970975891","0.0540151515151515151515151567","-4.21049204268929","0.0535849628619069273912384469","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","9.018494704954738","1507.2931276297335203366057528","1.243218858467878","0.0023494456502609032182687427","16.072931276297335203366057528","4.00656115720038","16.200848656294200848656294981"
"girlfriend","0","34","26","0","10","10","8.246275161735810","-93.51818181818181818181818116","0.411882858825370","0.0021476675523496960507594837","0.0648181818181818181818181884","-3.9474576368555","0.0643929058663028649386084645","11.931035676023910","-95.65909090909090909090909049","4.303004549093570","0.0036628729302698428338823788","0.0434090909090909090909090951","-4.52585898037627","0.0429740791268758526603001406","0.798347807977260","-33.029453015427769985974754864","-6.976928038509600","0.0001610337930443806940715814","0.6697054698457223001402524514","-0.578401343520777","0.6673728813559322033898305093"
"sure","0","37","0","0","9","0","7.205424516944072","-92.79797979797979797979797904","-0.628967785966368","0.0020088550485629296709961365","0.0720202020202020202020202096","-3.79545454341045","0.0715982012025668233035218099","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","6.223565963201918","1105.469845722300140252454305","-1.551709883284942","0.0019539449049852981104966925","12.05469845722300140252454305","3.59152365792154","12.124911785462244177840508677"
"best","0","39","0","0","9","0","7.205424516944072","-92.79797979797979797979797904","-0.628967785966368","0.0020088550485629296709961365","0.0720202020202020202020202096","-3.79545454341045","0.0715982012025668233035218099","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","6.223565963201918","1105.469845722300140252454305","-1.551709883284942","0.0019539449049852981104966925","12.05469845722300140252454305","3.59152365792154","12.124911785462244177840508677"
"easy","0","46","52","0","8","5","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","4.93716646179830","-91.31818181818181818181818089","-2.69086466513204","0.0025601466606583281707158263","0.0868181818181818181818181911","-3.52585898037627","0.0864029104138244656662119229","0.0147614854816932","7.1528751753155680224403924765","-7.7605143610051668","0.0000037542429330443674039011","1.0715287517531556802244039248","0.0996705615918607","1.0719322990126939351198871569"
"difficult","0","42","0","0","8","0","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"edited","0","49","0","0","8","0","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"bother","56","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"day","0","48","0","0","8","0","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"guy","0","50","18","0","7","14","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","17.732066904030752","-96.89935064935064935064935034","10.104035777100412","0.0045228076723448922784620411","0.0310064935064935064935064966","-5.01128580754652","0.0305658416163191060871824885","6.023272536966272","-66.514726507713884992987377068","-1.752003309520588","0.001187129897496270946379446","0.3348527349228611500701262293","-1.57840134352078","0.3315715292459478505990133862"
"tool","0","44","0","0","8","0","6.176338781983920","-91.89772727272727272727272639","-1.658053520926520","0.0018682913930805868440847269","0.0810227272727272727272727361","-3.62552954196813","0.0806048203728967712596634919","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"man","0","51","30","0","7","9","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","10.501072862205352","-95.17676767676767676767676721","2.873041735275012","0.003441149788229726906540831","0.0482323232323232323232323279","-4.37385588693122","0.047799504825425698549845894","1.691167912440434","-47.911796789777154433535920081","-6.084107934046426","0.0003820694273351831851768914","0.5208820321022284556646407992","-0.940971422905485","0.5185185185185185185185185119"
"itâ","0","62","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"send","0","60","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"romantic","0","54","0","0","7","0","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","4.416675541263300","837.587657784011220196353359","-3.358600305223560","0.0016842838087609345141606736","9.37587657784011220196353359","3.22895357853683","9.417195207892882311486963008"
"copied","37","0","0","7","0","0","8.536389117752302","1714.9090909090909090909093111","0.701996814841862","0.0028552533015324309779223432","18.149090909090909090909093111","4.18182538008947","18.25892040256175663311985604","5.841888738544298","1115.4545454545454545454544442","-1.786142388386042","0.0022767951426694070864893439","12.154545454545454545454544442","3.60342403656869","12.225983531564501372369625525","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"wrong","0","66","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"card","0","61","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"letters","0","69","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"needs","0","67","0","0","6","0","4.167029417814348","-89.19696969696969696969696865","-3.667362885096092","0.0015854824227947662778877351","0.1080303030303030303030303135","-3.21049204268929","0.107624677883886615128088536","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"technology","0","74","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"loving","0","53","23","0","7","12","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","14.818036849580070","-96.3825757575757575757575754","7.190005722649730","0.0040983785523009382924365495","0.036174242424242424242424246","-4.78889338621007","0.0357359405790510838259815103","4.094430054685524","-60.933847592332865825151939957","-3.680845791801336","0.0008467417623145105758455184","0.3906615240766713417484806004","-1.35600892218433","0.3876556260277190509748649258"
"true","0","57","0","0","7","0","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","4.416675541263300","837.587657784011220196353359","-3.358600305223560","0.0016842838087609345141606736","9.37587657784011220196353359","3.22895357853683","9.417195207892882311486963008"
"see","0","81","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"emotions","0","70","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"ideas","0","22","0","0","15","0","13.566556013034950","-95.67878787878787878787878744","5.732163710124510","0.0028126364830099594957870966","0.0432121212121212121212121256","-4.53242013757665","0.0427770198575109898438684294","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","11.875299982209920","1909.1164095371669004207571814","4.100024135723060","0.002729487804708950454717736","20.091164095371669004207571814","4.32848925208774","20.294117647058823529411765593"
"trying","0","68","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"start","0","71","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"warm","0","82","14","0","5","20","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","26.576480555808920","-97.82954545454545454545454523","18.948449428878580","0.005737351797031930216931457","0.0217045454545454545454545477","-5.52585898037627","0.0212596634834015461573442494","16.648931518462120","-83.25736325385694249649368864","8.873655671975260","0.0030331744490708747830268251","0.1674263674614305750350631136","-2.57840134352078","0.1644968332160450387051372262"
"touch","53","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"heartfelt","0","85","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"edit","0","83","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"heâ","0","77","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"thoughtful","0","0","21","0","0","13","0.0167961849402790","29.636363636363636363636391586","-7.8175961179701610","-0.0000079984437941857581648855","1.2963636363636363636363639159","0.374470458031866","1.2964984083674397453387906516","16.272194722275248","-96.66083916083916083916083883","8.644163595344908","0.004311954217329544902734402","0.0333916083916083916083916117","-4.90437060363","0.032952041137580018889705114","19.988239008113726","-97.42420973136260653792210624","12.212963161626866","0.0049699646821616366701495968","0.0257579026863739346207789376","-5.27884106166187","0.0254161832555378679545638476"
"sincere","0","0","28","0","0","9","0.0167961849402790","29.636363636363636363636391586","-7.8175961179701610","-0.0000079984437941857581648855","1.2963636363636363636363639159","0.374470458031866","1.2964984083674397453387906516","10.501072862205352","-95.17676767676767676767676721","2.873041735275012","0.003441149788229726906540831","0.0482323232323232323232323279","-4.37385588693122","0.047799504825425698549845894","13.039159391591606","-96.27941405641265388810970903","5.263883545104746","0.0040937621950396629593782322","0.0372058594358734611189029097","-4.74832634496309","0.0368681554230484430414279542"
"right","0","27","0","0","12","0","10.355051997238330","-94.59848484848484848484848433","2.520659694327890","0.00241937135091424970975891","0.0540151515151515151515151567","-4.21049204268929","0.0535849628619069273912384469","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","9.018494704954738","1507.2931276297335203366057528","1.243218858467878","0.0023494456502609032182687427","16.072931276297335203366057528","4.00656115720038","16.200848656294200848656294981"
"cared","0","84","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"fact","54","52","35","5","7","7","0.0173218845498618","-7.4025974025974025974025989424","-7.8170704183605782","0.0000041470248106914307954996","0.9259740259740259740259740106","-0.110956369138376","0.9256360078277886497064579404","0.677495307936582","-37.987012987012987012987013204","-6.950535818993758","0.0001918328494690597982014657","0.620129870129870129870129868","-0.689357712659153","0.6183953033268101761252446208","0.558843465584082","-33.029453015427769985974753679","-7.216432380902778","0.0001360246522863869072828946","0.6697054698457223001402524632","-0.578401343520777","0.6680761099365750528541226135"
"caring","0","28","8","0","12","35","10.355051997238330","-94.59848484848484848484848433","2.520659694327890","0.00241937135091424970975891","0.0540151515151515151515151567","-4.21049204268929","0.0535849628619069273912384469","49.011746393137920","-98.75974025974025974025974013","41.383715266207580","0.0085080937518105605095950403","0.0124025974025974025974025987","-6.33321390243388","0.0119534853504839862275060104","22.851298651157602","-77.038669605289521138048487179","15.076022804670742","0.0032682042951404675039594184","0.2296133039471047886195151282","-2.12272185974459","0.2230753687613659325116185094"
"show","57","75","0","5","5","0","0.167961849402790","29.636363636363636363636362537","-7.666430453507650","0.0000451947918893921287660997","1.2963636363636363636363636254","0.374470458031866","1.2977168949771689497716895135","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"creative","0","79","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"special","58","0","0","5","0","0","5.534035072334320","1196.3636363636363636363637733","-2.300357230576120","0.0025083307829648577577852697","12.963636363636363636363637733","3.69639855291923","13.018264840182648401826485771","3.664979397046710","768.18181818181818181818173223","-3.963051729883630","0.0019004594715068836032412656","8.681818181818181818181817322","3.11799720939845","8.716894977168949771689498188","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"sounds","0","0","36","0","0","7","0.0167961849402790","29.636363636363636363636391586","-7.8175961179701610","-0.0000079984437941857581648855","1.2963636363636363636363639159","0.374470458031866","1.2964984083674397453387906516","7.679492276518802","-93.79870129870129870129870064","0.051461149588462","0.0029929756446717463927088938","0.0620129870129870129870129936","-4.01128580754652","0.0615864353927109725199766186","9.628599927678944","-95.2163895011019835704267687","1.853324081192084","0.0036718329901561489375989714","0.047836104988980164295732313","-4.38575626557838","0.0475021295785939770506589105"
"job","0","80","0","0","5","0","3.19796679264430","-87.03636363636363636363636232","-4.63642551026614","0.0014494954303759961107058605","0.1296363636363636363636363768","-2.9474576368555","0.1292405638926784902228285718","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","2.689039890290730","569.7054698457223001402523938","-5.086235956196130","0.0014274489335869402241254558","6.697054698457223001402523938","2.74352675136658","6.7171006333567909922589728357"
"positive","0","0","51","0","0","5","0.0167961849402790","29.636363636363636363636391586","-7.8175961179701610","-0.0000079984437941857581648855","1.2963636363636363636363639159","0.374470458031866","1.2964984083674397453387906516","4.93716646179830","-91.31818181818181818181818089","-2.69086466513204","0.0025601466606583281707158263","0.0868181818181818181818181911","-3.52585898037627","0.0864029104138244656662119229","6.297295234732330","-93.30294530154277699859747619","-1.477980611754530","0.0033428538564107790062896921","0.0669705469845722300140252381","-3.90032943840814","0.0666432830585759382672746319"
"lovely","0","0","44","0","0","6","0.0167961849402790","29.636363636363636363636391586","-7.8175961179701610","-0.0000079984437941857581648855","1.2963636363636363636363639159","0.374470458031866","1.2964984083674397453387906516","6.295341255995156","-92.76515151515151515151515074","-1.332689870935184","0.0027711218454521091213748826","0.0723484848484848484848484926","-3.78889338621007","0.0719266333181749279975746625","7.949959468042232","-94.41912108461898083216456349","0.174683621555372","0.0034844342898078732553834638","0.0558087891538101916783543651","-4.16336384424193","0.0554776101952531275575821281"
"deeply","0","0","32","0","0","7","0.0167961849402790","29.636363636363636363636391586","-7.8175961179701610","-0.0000079984437941857581648855","1.2963636363636363636363639159","0.374470458031866","1.2964984083674397453387906516","7.679492276518802","-93.79870129870129870129870064","0.051461149588462","0.0029929756446717463927088938","0.0620129870129870129870129936","-4.01128580754652","0.0615864353927109725199766186","9.628599927678944","-95.2163895011019835704267687","1.853324081192084","0.0036718329901561489375989714","0.047836104988980164295732313","-4.38575626557838","0.0475021295785939770506589105"
"individual","0","0","39","0","0","6","0.0167961849402790","29.636363636363636363636391586","-7.8175961179701610","-0.0000079984437941857581648855","1.2963636363636363636363639159","0.374470458031866","1.2964984083674397453387906516","6.295341255995156","-92.76515151515151515151515074","-1.332689870935184","0.0027711218454521091213748826","0.0723484848484848484848484926","-3.78889338621007","0.0719266333181749279975746625","7.949959468042232","-94.41912108461898083216456349","0.174683621555372","0.0034844342898078732553834638","0.0558087891538101916783543651","-4.16336384424193","0.0554776101952531275575821281"
"suggestions","0","58","0","0","7","0","5.162068269311176","-90.74025974025974025974025888","-2.672324033599264","0.001726609725186406984339212","0.0925974025974025974025974112","-3.43288446402574","0.0921847593061781329175599397","0.00499109347358740","-13.181818181818181818181817227","-7.62304003345675260","-0.0000031693765333533260730309","0.8681818181818181818181818277","-0.203930885488911","0.8681218735788994997726240458","4.416675541263300","837.587657784011220196353359","-3.358600305223560","0.0016842838087609345141606736","9.37587657784011220196353359","3.22895357853683","9.417195207892882311486963008"
"respect","0","0","33","0","0","7","0.0167961849402790","29.636363636363636363636391586","-7.8175961179701610","-0.0000079984437941857581648855","1.2963636363636363636363639159","0.374470458031866","1.2964984083674397453387906516","7.679492276518802","-93.79870129870129870129870064","0.051461149588462","0.0029929756446717463927088938","0.0620129870129870129870129936","-4.01128580754652","0.0615864353927109725199766186","9.628599927678944","-95.2163895011019835704267687","1.853324081192084","0.0036718329901561489375989714","0.047836104988980164295732313","-4.38575626557838","0.0475021295785939770506589105"
