"ngram","Full_Rank","Tool_Rank","Control_Rank","Full_Freq","Tool_Freq","Control_Freq","Full vs Tool: LL","Full vs Tool: %DIFF","Full vs Tool: BIC","Full vs Tool: ELL","Full vs Tool: RRisk","Full vs Tool: LogRatio","Full vs Tool: OddsRatio","Full vs Control: LL","Full vs Control: %DIFF","Full vs Control: BIC","Full vs Control: ELL","Full vs Control: RRisk","Full vs Control: LogRatio","Full vs Control: OddsRatio","Tool vs Control: LL","Tool vs Control: %DIFF","Tool vs Control: BIC","Tool vs Control: ELL","Tool vs Control: RRisk","Tool vs Control: LogRatio","Tool vs Control: OddsRatio"
"genuine","20","31","7","12","11","36","0.689367365306952","41.421487603305785123966941879","-7.145024937603488","0.0001184413506705557524700239","1.4142148760330578512396694188","0.500001340115725","1.4187834224598930481283422475","16.190026776418896","-71.06060606060606060606060605","8.561995649488556","0.0025374105993524900982239054","0.2893939393939393939393939395","-1.78889338621007","0.2815563725490196078431372558","25.908068843377796","-79.53677731026959638460339718","18.132792996890936","0.0037053851146631824243462656","0.2046322268973040361539660282","-2.28889472632579","0.1984491558696505692972124072"
"chatgpt","19","17","50","13","20","5","0.233521204043046","-15.736363636363636363636363638","-7.600871098867394","0.0000346869658323255129047319","0.8426363636363636363636363636","-0.247017918714404","0.8407543698252069917203311816","2.641984370315780","125.72727272727272727272727385","-4.986046756614560","0.0006052757561742373005713314","2.2572727272727272727272727385","1.17458073776482","2.2723091076356945722171113047","4.621413703656800","167.8821879382889200561009831","-3.153862142830060","0.0008419491634627506773559705","2.678821879382889200561009831","1.42159865647922","2.7027027027027027027027027063"
"person","21","19","3","12","19","60","0.2980990577084932","-18.124401913875598086124401735","-7.5362932452019468","0.0000453429487037654082772685","0.8187559808612440191387559827","-0.288494554690563","0.8167569659442724458204334382","42.07673633265768","-82.63636363636363636363636365","34.44870520572734","0.0058328425590156729903096279","0.1736363636363636363636363635","-2.52585898037627","0.1645220588235294117647058829","41.945604035402960","-78.792660121552127162225339005","34.170328188916100","0.005097626161740419894576653","0.21207339878447872837774661","-2.23736442568571","0.2014333096422648661454631606"
"authentic","22","45","31","12","8","8","2.179596809584256","94.45454545454545454545454697","-5.654795493326184","0.0003986614138201166049362646","1.9445454545454545454545454697","0.959432958753022","1.9549632352941176470588235474","0.339825938276392","30.227272727272727272727271911","-7.288205188653948","0.0000741744388005183298909811","1.3022727272727272727272727191","0.381031615232245","1.3056066176470588235294117665","0.638678246381808","-33.029453015427769985974755502","-7.136597600105052","0.0001442904811825604109027714","0.669705469845722300140252445","-0.578401343520777","0.6678420310296191819464033798"
"express","23","16","42","10","21","6","1.655049929985304","-38.268398268398268398268398197","-6.179342372925136","0.0002517446537884713750908576","0.617316017316017316017316018","-0.695918869859532","0.6138051550895587592835299248","0.525127179217296","44.696969696969696969696970782","-7.102903947713044","0.0001273689362842483403025641","1.4469696969696969696969697078","0.533034708677295","1.4510703363914373088685015338","3.889823634490380","134.39691444600280504908836053","-3.885452211996480","0.0006857709807043820880738621","2.3439691444600280504908836053","1.22895357853683","2.3640569395017793594306049935"
"felt","26","35","0","9","10","0","0.1122202765635692","16.672727272727272727272727709","-7.7221720263468708","0.000021024004672037098407115","1.1667272727272727272727272771","0.222467364586816","1.168102658111824014665444547","8.098052851007906","1462.7272727272727272727271371","0.470021724077566","0.0026536919816654492795834453","15.627272727272727272727271371","3.9659941159534","15.747937671860678276810266602","7.146183695146510","1239.4109396914446002805047876","-0.629092151340350","0.0020874354450355483021615478","13.394109396914446002805047876","3.74352675136658","13.481638418079096045197740781"
"care","14","63","0","17","6","0","8.723910519356594","267.3030303030303030303030302","0.889518216446154","0.0014988695390034651623144743","3.673030303030303030303030302","1.87697079856105","3.714989227454601415820252396","17.474228188161304","2851.8181818181818181818179278","9.846197061230964","0.0040571357220098792758053203","29.518181818181818181818179278","4.88353195576143","29.965835641735918744228994919","3.539869602613620","703.64656381486676016830287638","-4.235406243873240","0.0015515101774264724022489241","8.036465638148667601683028764","3.00656115720038","8.066197183098591549295774997"
"people","24","24","38","10","14","6","0.0346437690997236","-7.4025974025974025974025969806","-7.7997485338107164","0.0000058442558685372017333436","0.9259740259740259740259740302","-0.110956369138376","0.9252948885976408912188728671","0.525127179217296","44.696969696969696969696970782","-7.102903947713044","0.0001273689362842483403025641","1.4469696969696969696969697078","0.533034708677295","1.4510703363914373088685015338","0.882324864231244","56.264609630668536699392239824","-6.892950982255616","0.0001779727058367178978092909","1.5626460963066853669939223982","0.643991077815671","1.5682247403210576015108593116"
"wrote","25","30","17","9","12","16","0.0040716432804180","-2.772727272727272727272727371","-7.8303206596300220","0.0000007283105131765262239657","0.9722727272727272727272727263","-0.0405670412469775","0.9720439963336388634280476646","3.100705453291976","-51.164772727272727272727272593","-4.527325673638364","0.0006152190113998524687241834","0.4883522727272727272727272741","-1.0340058840466","0.4841315307057745187901008255","3.294744221272752","-49.77208976157082748948106573","-4.480531625214108","0.0005721252006298465490117942","0.5022791023842917251051893427","-0.993438842799621","0.4980551626591230551626591226"
"find","29","47","0","9","8","0","0.603955786228644","45.840909090909090909090910677","-7.230436516681796","0.0001194352022563755789643978","1.4584090909090909090909091068","0.544395459474178","1.4621906507791017415215398865","8.098052851007906","1462.7272727272727272727271371","0.470021724077566","0.0026536919816654492795834453","15.627272727272727272727271371","3.9659941159534","15.747937671860678276810266602","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"bothered","27","56","0","9","7","0","1.038520388491612","66.675324675324675324675323941","-6.795871914418828","0.0002117861496655161544629462","1.6667532467532467532467532394","0.737040537416574","1.6722535026843001178473222673","8.098052851007906","1462.7272727272727272727271371","0.470021724077566","0.0026536919816654492795834453","15.627272727272727272727271371","3.9659941159534","15.747937671860678276810266602","4.416675541263300","837.587657784011220196353359","-3.358600305223560","0.0016842838087609345141606736","9.37587657784011220196353359","3.22895357853683","9.417195207892882311486963008"
"writing","15","12","15","17","25","19","0.1620948025433466","-11.847272727272727272727272334","-7.6722975003670934","0.0000220794834992294213555497","0.8815272727272727272727272767","-0.181922890492519","0.8796675900277008310249307498","0.573555939372816","-22.32057416267942583732057382","-7.054475187557524","0.0000990709679498380316644157","0.7767942583732057416267942618","-0.364395557682157","0.7732905671380667735821548327","0.1715981707919034","-11.880859230826013139440466528","-7.6036776756949566","0.0000251059567604393828393542","0.8811914076917398686055953347","-0.182472667189638","0.8790713400202862616927758345"
"better","31","23","0","8","14","0","0.469415108535784","-25.922077922077922077922077381","-7.364977194374656","0.0000822375061451876649768408","0.7407792207792207792207792262","-0.432884464025738","0.7388801674515960230245944483","6.962563183632398","1289.0909090909090909090907907","-0.665467943297942","0.0024663276000463810604109776","13.890909090909090909090907907","3.79606911451109","13.985347985347985347985348587","10.917834595657516","1775.1753155680224403927066988","3.142558749170656","0.0026044758152208375631527052","18.751753155680224403927066988","4.22895357853683","18.927762039660056657223796974"
"relationship","30","0","25","8","0","12","10.069785914800620","1974.1818181818181818181820657","2.235393611890180","0.0030460269455528552057057103","20.741818181818181818181820657","4.37447045803187","20.886446886446886446886449469","1.470658884722224","-42.121212121212121212121211989","-6.157372242208116","0.0003210034466307994445265085","0.5787878787878787878787878801","-0.788893386210067","0.5757020757020757020757020748","18.239591696305492","-97.20956054230949041608228177","10.464315849818632","0.0047516720667226801465497717","0.0279043945769050958391771823","-5.16336384424193","0.0275634280369461007833508676"
"gpt","33","43","0","8","8","0","0.268738959044464","29.636363636363636363636365244","-7.565653343865976","0.000054804113652320043798638","1.2963636363636363636363636524","0.374470458031866","1.2985347985347985347985348024","6.962563183632398","1289.0909090909090909090907907","-0.665467943297942","0.0024663276000463810604109776","13.890909090909090909090907907","3.79606911451109","13.985347985347985347985348587","5.312713141088912","971.5287517531556802244038224","-2.462562705397948","0.0018192351227029760950525518","10.715287517531556802244038224","3.42159865647922","10.770098730606488011283498316"
"chat","28","40","0","9","9","0","0.302331328925022","29.636363636363636363636364532","-7.532060973985418","0.0000581278134688925948124495","1.2963636363636363636363636453","0.374470458031866","1.2988084326306141154903758071","8.098052851007906","1462.7272727272727272727271371","0.470021724077566","0.0026536919816654492795834453","15.627272727272727272727271371","3.9659941159534","15.747937671860678276810266602","6.223565963201918","1105.469845722300140252454305","-1.551709883284942","0.0019539449049852981104966925","12.05469845722300140252454305","3.59152365792154","12.124911785462244177840508677"
"opinion","34","0","0","8","0","0","10.069785914800620","1974.1818181818181818181820657","2.235393611890180","0.0030460269455528552057057103","20.741818181818181818181820657","4.37447045803187","20.886446886446886446886449469","6.962563183632398","1289.0909090909090909090907907","-0.665467943297942","0.0024663276000463810604109776","13.890909090909090909090907907","3.79606911451109","13.985347985347985347985348587","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
"mean","32","0","0","8","0","0","10.069785914800620","1974.1818181818181818181820657","2.235393611890180","0.0030460269455528552057057103","20.741818181818181818181820657","4.37447045803187","20.886446886446886446886449469","6.962563183632398","1289.0909090909090909090907907","-0.665467943297942","0.0024663276000463810604109776","13.890909090909090909090907907","3.79606911451109","13.985347985347985347985348587","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
